block,meas3yr,treeid,xsite,ysite,species,dbh69,can69,cond69,dbh75,can75,cond75,dbh91,can91,cond91,dbh01,can01,cond01,1969Orient,dbh11,can11,cond11,length11,angle11,decay,comments,soilmoist,hurrdam,10medge
SE11,1991,1,2,-194,PIST,45.72,NA,ST,NA,NA,ST,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,NA,dry,Low,0
SE11,1991,2,3.5,-190.5,BEAL,6.35,S,L,6.6,S,L,7.62,NA,SN,NA,NA,SN,NA,NA,NA,G,NA,NA,NA,1991: 9' AT 254 DEG.; 2001: BOLE D3; 4.5 ,dry,Low,0
SE11,1991,3,3.5,-197,BEPO,9.65,S,L,9.65,S,L,NA,NA,SN,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991:BOLE NOT OBVIOUS; STUMP GONE,dry,Low,0
SE11,1991,4,5,-175.5,PIST,25.4,NA,WC,NA,NA,WC,NA,NA,WC,NA,NA,WC,NW,NA,NA,WC,NA,NA,D3,WINDTHROWN: LOCATED AT CENTER OF MOUND; 1991: D2 TO D3; 2001: D3,dry,Low,0
SE11,1991,5,5.5,-165.5,ACRU,4.57,S,L,4.83,S,L,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 13;131,dry,Severe,0
SE11,1991,6,5.5,-172,BELE,5.59,S,L,NA,NA,D,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,NA,dry,Low,0
SE11,1991,7,6,-189.5,ACRU,7.37,S,L,9.14,S,L,12.19,I,L,13.4,I,L,NA,15.4,S,L,NA,NA,NA,1991:SHARES BASE WITH SMALL SPROUT,dry,Low,0
SE11,1991,8,6.5,-165.5,ACRU,5.59,S,L,6.6,S,L,7.37,S,L,NA,NA,ST,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 11;131; 1991: STUMP SPROUTS; 2001: CUT; BOLE SCATTERED,dry,Severe,0
SE11,1991,9,6.5,-172.5,BEAL,6.6,S,L,8.13,S,L,10.16,I,L,10.7,I,L,NA,10.9,S,L,NA,NA,NA,NA,dry,Low,0
SE11,1991,10,7.5,-162,BEPA,13.97,D,L,15.75,D,L,17.02,CD,L,17,NA,SN,NA,NA,NA,SN,3,40,D3,2001: SNAP AT 1M; BOLE SCATTERED; 2011: COND91 CHANGED FROM M TO L,dry,Severe,0
SE11,1991,11,8,-159,BELE,7.11,S,L,9.14,S,L,13.72,I,L,17.3,I,L,NA,19.9,CD,L,NA,NA,NA,1991:SHARES BASE W/17;117,dry,Severe,0
SE11,1991,12,8.5,-158.5,BELE,11.18,I,L,14.73,I,L,19.56,CD,L,22.9,CD,L,NA,26.1,CD,L,NA,NA,NA,1991:SHARES BASE W/ 16;118,dry,Severe,0
SE11,1991,13,9,-151.5,ACRU,6.35,CD,L,8.89,CD,L,12.19,I,L,11.8,I,L,NA,12.2,S,L,NA,NA,NA,SHARES BASE WITH 19;102 & 19;104,dry,Severe,0
SE11,1991,14,9.5,-151,ACRU,6.86,CD,L,7.11,CD,L,12.19,CD,L,14.4,CD,L,NA,16.5,CD,L,NA,NA,NA,SHARES BASE WITH 18;103 & 19;104; 1991: large open wound at 9',dry,Severe,0
SE11,1991,15,9.5,-152,ACRU,8.38,CD,L,11.18,CD,L,17.27,CD,L,19.8,CD,L,NA,23.3,CD,L,NA,NA,NA,SHARES BASE WITH 18;103 & 19;102,dry,Severe,0
SE11,1991,16,9.5,-177.5,BELE,6.1,S,L,6.35,S,L,13.21,I,L,16.9,I,L,NA,18.9,I,L,NA,NA,NA,1991: LEANING SW,dry,Low,0
SE11,1991,17,11,-149,BELE,7.11,S,L,NA,NA,D,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,NA,dry,Severe,0
SE11,1991,18,11,-155.5,BEPO,10.16,I,L,11.43,I,L,12.45,NA,SN,NA,NA,SN,NA,NA,NA,SN,NA,NA,D3,1991: SNAP AT DBH; 2 PARTS: 13' AT 182 DEG & 10' AT 220 DEG; 2001: BOLE IN 2 PARTS; 4.4' AT 138 DEG; 13.4' AT 174 DEG; SNAP AT BASE; D3; 2011: BOLE BURIED,dry,Severe,0
SE11,1991,19,13,-128.5,ACRU,10.92,CD,L,13.97,CD,L,20.83,CD,L,23.3,CD,L,NA,25.5,I,L,NA,NA,NA,1991: SHARES BASE W/ 26; 59; OPEN WOUND AT DBH,dry,Severe,1
SE11,1991,20,13,-129.5,ACRU,10.92,CD,L,13.97,CD,L,21.84,CD,L,25.6,CD,L,NA,28.3,CD,L,NA,NA,NA,1991: SHARES BASE W/ 26; 57,dry,Severe,1
SE11,1991,21,15,-102,BELE,NA,NA,NA,5.59,S,L,7.62,S,L,8.8,S,L,NA,10,S,L,NA,NA,NA,NA,dry,Severe,1
SE11,1991,22,15.5,-182.5,ACRU,11.94,S,L,12.7,S,L,13.21,I,L,13.4,S,L,NA,11.8,NA,SN,16.5,330,D2,1991: DEAD SIDE LEADER; 2001: DEAD TOP,dry,Low,0
SE11,1991,23,16,-123,ACRU,NA,NA,NA,5.08,S,L,5.59,S,L,NA,NA,ST,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 3 OTHER RM; 2001: BOLE CUT AND MISSING,dry,Severe,1
SE11,1991,24,16,-123.5,ACRU,5.08,S,L,5.59,S,L,10.16,NA,SN,NA,NA,G,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 3 OTHER RM; 1991: SNAP AT BASE; BOLE GONE; DIAMETER IS AT BASE; 2001: BASE D3,dry,Severe,1
SE11,1991,25,16.5,-113,BEPO,7.87,S,L,8.13,S,L,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,NA,dry,Severe,1
SE11,1991,26,17,-101.5,ACRU,5.84,S,L,7.37,S,L,10.41,I,L,12,I,L,NA,13.8,S,L,NA,NA,NA,NA,dry,Severe,1
SE11,1991,27,17,-112,BEPA,5.33,S,L,6.6,S,L,7.37,I,L,8,NA,SN,NA,NA,NA,G,NA,NA,NA,2001: 8.4' BOLE; 102 DEG; D2,dry,Severe,1
SE11,1991,28,17,-123.5,ACRU,6.86,S,L,7.62,S,L,8.64,I,L,9.1,S,L,NA,9.8,S,L,NA,NA,NA,SHARES BASE WITH 3 OTHER RM,dry,Severe,1
SE11,1991,29,17.5,-123,ACRU,5.08,S,L,5.59,S,L,6.6,S,L,6.8,S,L,NA,6.9,NA,D,NA,NA,D1,SHARES BASE WITH 3 OTHER RM; 2011: IN JULY; SNAP AT BASE; GOING OVER STONEWALL,dry,Severe,1
SE11,1991,30,18,-149.5,BEPO,10.67,S,L,NA,NA,D,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 37;97,dry,Severe,0
SE11,1991,31,18.5,-148.5,BEPO,8.89,S,L,NA,NA,D,NA,NA,SN,NA,NA,G,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 36;99; 1991: BOLE GONE; STUMP D3,dry,Severe,0
SE11,1991,32,18.5,-177,BEPA,11.43,S,L,12.7,S,L,15.24,CD,L,15.3,CD,L,NA,15.1,NA,D,NA,NA,D2,NA,dry,Severe,0
SE11,1991,33,18.5,-182,QURU,41.15,D,L,44.2,D,L,49.28,D,L,51.4,D,L,NA,55.9,D,L,NA,NA,NA,NA,dry,Low,0
SE11,1991,34,18.5,-186.5,BEAL,5.08,S,L,6.1,S,L,7.62,S,L,8.5,S,L,NA,9,S,L,NA,NA,NA,1991: STUMP SPROUTS,dry,Low,0
SE11,1991,35,19,-139.5,PIST,25.4,NA,ST,NA,NA,ST,NA,NA,ST,NA,NA,ST,NA,NA,NA,ST,NA,NA,D3,WINDTHROWN: STEM NEARBY; 1991: D2; 2001: D3,dry,Severe,0
SE11,1991,36,21,-162,BEPA,8.38,I,L,9.65,I,L,10.67,S,L,11.3,NA,D,NA,11,NA,SN,18.1,290,D2,2011: BOLE CUT IN 2 PIECES; one piece 8.1'; 2nd 10.0',dry,Severe,0
SE11,1991,37,21,-193.5,PIST,NA,NA,NA,5.33,S,L,6.35,NA,W,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991: 20' AT 198 DEG,dry,Low,0
SE11,1991,38,21.5,-172,PIST,25.4,NA,W,NA,NA,W,NA,NA,W,NA,NA,W,NW,NA,NA,W,NA,NA,D3,WINDTHROWN: LOCATED AT CENTER OF MOUND; BB GROWING ON MOUND; WB GROWING ON OR NEAR MOUND; 1991: D2 TO D3; 2001: 14.1' BOLE; 286 DEG; D3; 2011: D3 MOUND ONLY,dry,Severe,0
SE11,1991,39,22,-173.5,BELE,8.13,S,L,8.89,S,L,10.16,I,L,11.8,I,L,NA,12.9,I,L,NA,NA,NA,GROWING ON WP MOUND 43;144,dry,Severe,0
SE11,1991,40,22.5,-172,BELE,8.38,S,L,9.65,S,L,11.43,I,L,12.3,I,L,NA,13.3,S,L,NA,NA,NA,GROWING ON WP MOUND 43;144,dry,Severe,0
SE11,1991,41,23,-105,QUAL,34.29,D,L,36.32,D,L,39.37,D,L,40.8,D,L,NA,42.8,D,L,NA,NA,NA,NA,dry,Severe,1
SE11,1991,42,23,-169.5,BEPA,NA,NA,NA,5.84,S,L,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,GROWING ON OR NEAR WP MOUND 43;144,dry,Severe,0
SE11,1991,43,24.5,-141,BELE,18.29,D,L,21.84,D,L,25.91,CD,L,29.1,CD,L,NA,31.4,CD,L,NA,NA,NA,1991: DBH MEASURED FROM LARGE ROOT,dry,Severe,0
SE11,1991,44,24.5,-155,QURU,5.08,I,L,NA,NA,L,5.84,S,L,6,NA,D,NA,NA,NA,G,NA,NA,NA,MISSED IN 1975; 1991: DEAD LEADER; 2001: SPROUTS AT BASE; 2011: COND91 CHANGED FROM M TO L,dry,Severe,0
SE11,1991,45,25,-144.5,BELE,8.64,CD,L,10.92,CD,L,14.73,CD,L,16.4,CD,L,NA,18.6,I,L,NA,NA,NA,NA,dry,Severe,0
SE11,1991,46,26,-124.5,QURU,7.62,I,L,8.13,I,L,7.62,NA,SN,8,NA,SN,NA,NA,NA,G,NA,NA,NA,1991: SNAP BELOW DBH; D1; 40' AT 224 DEG; BOLE HUNG UP IN SMALL BB; 2001: SNAP AT BASE; 22.4'; 204 DEG; D2; ACROSS THE STONE WALL,dry,Severe,1
SE11,1991,47,26.5,-107.5,PIST,5.33,S,L,5.59,S,L,5.08,NA,SN,5,NA,SN,NA,NA,NA,G,NA,NA,NA,1991: SNAPPED AT 10'; 2001: SNAP AT BASE; BOLE 11.7'; 290 DEG; D2,dry,Severe,1
SE11,1991,48,27,-175,ACRU,4.83,S,L,4.83,S,L,NA,NA,SN,NA,NA,SN,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 56;150 & 58;151; 1991: SNAP AT BASE; 2001: 10.4' BOLE IN PIECES; 212 DEG; D2,dry,Severe,0
SE11,1991,49,27,-176.5,ACRU,4.83,S,L,4.83,S,L,NA,NA,SN,NA,NA,SN,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 56;152; 1991: SNAP AT BASE; 2001: 15.1' BOLE; 10 DEG; D2,dry,Severe,0
SE11,1991,50,28,-175,ACRU,9.14,I,L,10.16,I,L,11.68,I,L,11.7,I,L,NA,12.5,S,L,NA,NA,NA,SHARES BASE WITH 54;150 & 58;151,dry,Severe,0
SE11,1991,51,28,-176,ACRU,11.18,I,L,13.21,I,L,16.26,CD,L,18.8,CD,L,NA,20.5,I,L,NA,NA,NA,SHARES BASE WITH 54;153,dry,Severe,0
SE11,1991,52,28.5,-160.5,ACRU,7.87,CD,L,8.13,CD,L,8.64,S,L,8,NA,SN,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 59;120 & 59;122; 1991: DEAD LEADER; DEAD FINE TWIGS IN UPPER CROWN; 2001: 24.3' BOLE; 232 DEG; D2; 2011:  COND91 CHANGED FROM M TO L,dry,Severe,0
SE11,1991,53,29,-114.5,PIST,20.32,NA,WC,NA,NA,WC,NA,NA,G,NA,NA,G,NW,NA,NA,G,NA,NA,NA,WINDTHROWN: LOCATED AT CENTER OF MOUND; YB GROWING ON OR NEAR MOUND,dry,Severe,1
SE11,1991,54,29,-154,PIST,5.33,S,L,5.84,S,L,7.37,S,L,7.6,S,L,NA,7,NA,SN,23,166,D1,1991: MANY DEAD LOWER BRANCHES; THIN CROWN,dry,Severe,0
SE11,1991,55,29,-175.5,ACRU,6.35,S,L,6.35,S,L,NA,NA,SN,NA,NA,G,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 54;150 & 56;150; 1991: SNAP AT BASE; BOLE IS D1; 23' AT 121 DEG; 2001: MAY SEE VERY ROTTEN PIECE OF BOLE - D3,dry,Severe,0
SE11,1991,56,29,-187.5,QURU,4.83,S,L,5.08,S,L,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991:THERE IS AN OLD 5' HIGH STUMP HERE THAT LOOKS LIKE BIRCH BUT HAS RO SEEDLINBG AT BASE,dry,Severe,0
SE11,1991,57,29.5,-105,PIST,5.33,S,L,5.33,S,L,5.08,NA,SN,4,NA,SN,NA,NA,NA,G,NA,NA,NA,1991: SNAP AT BASE; D1; 9' AT 30 DEG; 2001: 6' BOLE; 30 DEG; D2,dry,Severe,1
SE11,1991,58,29.5,-160,ACRU,9.14,CD,L,9.91,CD,L,9.91,NA,D,NA,NA,SN,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 57;121 & 59;122; 1991: CROWN SNAPPED2001: STUMP ONLY D3,dry,Severe,0
SE11,1991,59,29.5,-161,ACRU,7.87,CD,L,8.13,CD,L,7.62,NA,SN,NA,NA,SN,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 59;120 & 57;121; 1991:BARK GONE; SNAP AT BASE; BOLE D1; 26' AT 220 DEG; 2001: STUMP ONLY D3,dry,Severe,0
SE11,1991,60,30,-184,ACRU,6.1,I,L,6.86,I,L,8.38,S,L,9.1,S,L,NA,9.7,S ,L,NA,NA,NA,NA,dry,Severe,0
SE11,1991,61,30.5,-114,BEPA,12.45,I,L,13.72,I,L,15.75,CD,L,16.9,CD,L,NA,17.5,I,L,NA,NA,NA,GROWING ON OR NEAR WP MOUND 58;29; 2011: LEANING,dry,Severe,1
SE11,1991,62,30.5,-176,QURU,13.97,CD,L,17.27,CD,L,24.38,CD,L,28.9,CD,L,NA,33.9,CD,L,NA,NA,NA,NA,dry,Severe,0
SE11,1991,63,31,-122,ACRU,5.84,S,L,6.1,S,L,6.86,S,L,6.9,S,L,NA,6.5,NA,SN,8.5,208,D2,1991:ARCHED OVER; 2011: STEM ROLLED 2' W OF STUMP,dry,Severe,1
SE11,1991,64,31.5,-143,ACRU,7.62,S,L,7.87,S,L,8.38,S,D,8,NA,SN,NA,NA,NA,G,NA,NA,NA,2001: 27' BOLE; 202 DEG; D2,dry,Severe,0
SE11,1991,65,31.5,-187.5,PIST,50.8,NA,ST,NA,NA,ST,NA,NA,ST,NA,NA,ST,NA,NA,NA,ST,NA,NA,D3,1991: D2 TO D3; 2001: D3,dry,Severe,0
SE11,1991,66,32,-109.5,PIST,6.35,S,L,7.11,S,L,7.62,S,D,5,NA,SN,NA,NA,NA,G,NA,NA,NA,1991:LEANING 337 DEG; 2001: 13.1' BOLE; 298 DEG; D2,dry,Severe,1
SE11,1991,67,32.5,-141,ACRU,9.14,S,L,9.65,S,L,10.16,S,D,9,NA,SN,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 68;82; 2001: 15.1' BOLE; 280 DEG; D2,dry,Severe,0
SE11,1991,68,32.5,-173.5,BEAL,4.83,S,L,5.08,S,L,5.59,S,L,5.1,NA,D,NA,5.1,NA,SN,4.3,180,D3,GROWING ON OR NEAR WP MOUND 69;145; 1991: DEAD LEADER; 2011: SNAP AT 2'; TRUNK SPROUT TAKING OVER,dry,Severe,0
SE11,1991,69,33,-122,ACRU,6.6,I,L,7.11,I,L,NA,NA,SN,NA,NA,SN,NA,NA,NA,G,NA,NA,NA,1991: SNAP AT BASE; BOLE D1; 25' AT 172 DEG; 2001: STUMP ONLY D3,dry,Severe,1
SE11,1991,70,33.5,-120,ACRU,5.59,S,L,6.1,S,L,6.6,S,L,6.9,S,L,NA,7.2,S,L,NA,NA,NA,2011: TRUNK SPROUTS ONLY AT DBH; SNAP AT 1.5 M,dry,Severe,1
SE11,1991,71,33.5,-137,ACRU,7.11,I,L,8.13,I,L,11.18,I,L,10.6,I,L,NA,11,I,L,NA,NA,NA,NA,dry,Severe,0
SE11,1991,72,34,-141,ACRU,7.37,S,L,7.62,S,L,7.87,S,SN,7,NA,SN,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 65;82; 1991: 282 DEG; 2001: 12.2' BOLE; 280 DEG; D2,dry,Severe,0
SE11,1991,73,34,-173.5,BEAL,6.1,S,L,6.6,S,L,7.62,S,L,8.9,S,L,NA,9.6,S,L,NA,NA,NA,GROWING ON OR NEAR WP MOUND 69;145; 1991: SHARES BASE W/69; 147,dry,Severe,0
SE11,1991,74,34.5,-114,ACRU,10.16,I,L,11.43,I,L,13.21,I,L,13,NA,D,NA,12.3,NA,SN,40,186,D2,NA,dry,Severe,1
SE11,1991,75,34.5,-124.5,PIST,6.6,S,L,6.86,S,L,5.08,NA,SN,NA,NA,SN,NA,NA,NA,SN,NA,NA,D3,1991: SNAP AT 5'; 2 PIECES 5' AT 242 DEG & 6' AT 272 DEG; BOLE HUNG UP IN ANOTHER TREE; 2001: SNAP AT BASE; BOLE UNCLEAR; 2011: VERY SMALL D3 STUMP,dry,Severe,1
SE11,1991,76,34.5,-172.5,PIST,30.48,NA,WC,NA,NA,WC,27.94,NA,WC,NA,NA,WC,N,NA,NA,WC,NA,NA,D3,WINDTHROWN: LOCATED AT CENTER OF MOUND; 3 YB GROWING ON OR NEAR MOUND; 2001: D3,dry,Severe,0
SE11,1991,77,34.5,-173.5,BEAL,7.87,S,L,8.38,S,L,9.65,S,L,9.9,S,L,NA,10.3,S,L,NA,NA,NA,GROWING ON OR NEAR WP MOUND 69;145;  1991: SHARES BASE W/ 68; 147,dry,Severe,0
SE11,1991,78,35,-177.5,PIST,7.87,S,L,8.64,S,L,7.62,NA,SN,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991: SNAP AT BASE; BOLE IS D1; 15' AT 190 DEG; NO BARK,dry,Severe,0
SE11,1991,79,35.5,-180.5,QURU,7.62,CD,L,8.64,CD,L,9.65,I,L,9.8,S,L,NA,8.4,NA,RB,36.8,172,D2,1991: SMALL WOUND BELOW DBH; 2001: TOP DEAD,dry,Severe,0
SE11,1991,80,36,-156.5,BELE,9.91,I,L,11.94,I,L,16.51,CD,L,19.5,CD,L,NA,21.2,I,L,NA,NA,NA,1991:SLIGHT CURVE IN TRUNK NEAR DBH; 2011: TOP DEAD,dry,Severe,0
SE11,1991,81,37,-156,BEPA,5.59,S,L,8.38,S,L,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,NA,dry,Severe,0
SE11,1991,82,37,-160.5,ACRU,13.21,CD,L,15.49,CD,L,19.81,CD,L,21,CD,L,NA,21.9,CD,L,NA,NA,NA,SHARES BASE WITH 74;123 & 75;123,dry,Severe,0
SE11,1991,83,37,-161.5,ACRU,4.83,S,L,5.08,S,L,NA,NA,SN,NA,NA,G,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 74;121 & 75;123; 1991: SNAP AT BASE; BOLE NOT CLEAR,dry,Severe,0
SE11,1991,84,37.5,-149.5,PIST,66.04,NA,W,NA,NA,W,NA,NA,W,NA,NA,W,NW,NA,NA,W,11.1,340,D3,WINDTHROWN: LOCATED AT CENTER OF MOUND; 3 BB & 1 WB GROWING ON OR NEAR MOUND; 1991:BIRCH SEEDLINGS ON MOUND; 2011: CUT,dry,Severe,0
SE11,1991,85,37.5,-161.5,ACRU,4.83,S,L,5.08,S,L,5.08,NA,SN,NA,NA,SN,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 74;121 & 74;123; 1991:SNAP AT BASE; BOLE IS D1; 27' AT 235 DEG; 2001: BASE ONLY; BOLE GONE,dry,Severe,0
SE11,1991,86,38,-112.5,PIST,25.4,NA,WC,NA,NA,WC,15.24,NA,WC,NA,NA,WC,NW,NA ,NA,WC,NA,NA,D3,WINDTHROWN: LOCATED AT CENTER OF MOUND; 2 BB GROWING ON OR NEAR MOUND; 1991: D2; 2001: STUMP D3,dry,Severe,1
SE11,1991,87,38,-156,BELE,7.87,I,L,8.13,I,L,8.13,NA,SN,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991: SNAP AT 9'; WOODPECKERING; TOP IS 23' AT 208 DEG; D1,dry,Severe,0
SE11,1991,88,39,-112,BELE,6.6,S,L,7.62,S,L,8.38,S,L,8.8,S,L,NA,9.4,S,L,NA,NA,NA,SHARES BASE WITH 79;23; GROWING ON OR NEAR WP MOUND 76;25; 1991: 2 LATERALS TAKING OVER,dry,Severe,1
SE11,1991,89,39,-120,PIST,25.4,NA,ST,NA,NA,ST,7.62,NA,ST,NA,NA,ST,NA,NA,NA,ST,NA,NA,D3,1991: D2; 2001: D3; 2011: BARELY VISIBLE,dry,Severe,1
SE11,1991,90,39,-149,BELE,3.56,S,L,NA,NA,D,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,GROWING ON OR NEAR WP MOUND 75;99; 1991: BARK REMNANT D3,dry,Severe,0
SE11,1991,91,39,-155.5,BELE,9.14,I,L,10.67,I,L,13.46,CD,L,14.4,CD,L,NA,15.1,I,L,NA,NA,NA,NA,dry,Severe,0
SE11,1991,92,39.5,-111.5,BELE,8.89,S,L,10.16,S,L,13.21,I,L,15.1,I,L,NA,17.2,I,L,NA,NA,NA,SHARES BASE WITH 78;24; GROWING ON OR NEAR WP MOUND 76;25,dry,Severe,1
SE11,1991,93,39.5,-119,BELE,10.92,I,L,12.19,I,L,17.02,CD,L,19.7,CD,L,NA,22,CD,L,NA,NA,NA,NA,dry,Severe,1
SE11,1991,94,39.5,-142,ACSA,6.86,S,L,NA,NA,D,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,NA,dry,Severe,0
SE11,1991,95,40,-146,BELE,4.83,S,L,4.83,S,L,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,GROWING ON OR NEAR WP MOUND 75;99,dry,Severe,0
SE11,1991,96,40,-147,BELE,9.65,CD,L,12.19,CD,L,18.8,CD,L,22.6,CD,L,NA,24,NA,D,NA,NA,D1,GROWING ON OR NEAR WP MOUND 75;99; 2011: FUNGUS,dry,Severe,0
SE11,1991,97,40,-148,BEPA,16.76,CD,L,19.3,CD,L,20.57,CD,D,20,NA,SN,NA,NA,NA,SN,23,200,D3,GROWING ON OR NEAR WP MOUND 75;99; 1991: CROWN NOT EVIDENT; 2001: 32.9'; 198 DEG; D2; 2011: COND91 CHANGED FROM CR TO D,dry,Severe,0
SE11,1991,98,40,-152.5,BELE,4.83,S,L,5.33,S,L,6.35,S,L,6.7,S,L,NA,7.3,S,L,NA,NA,NA,1991: DEAD LEADER,dry,Severe,0
SE11,1991,99,40.5,-173,BEPO,8.38,S,L,8.64,S,L,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,NA,dry,Severe,0
SE11,1991,100,41,-163.5,ACRU,6.1,S,L,7.11,S,L,7.62,S,L,7,NA,SN,NA,NA,NA,G,NA,NA,NA,1991: DEAD LEADER; SOME DEAD TWIGS IN TOP OF CROWN; 2001: 31.7' BOLE; 176 DEG; D2,dry,Severe,0
SE11,1991,101,41,-169.5,PIST,25.4,NA,W,NA,NA,W,NA,NA,W,NA,NA,W,W,NA,NA,G,NA,NA,NA,WINDTHROWN: LOCATED AT CENTER OF MOUND; 1991: MOUND D3; 1 YB SEEDLING; 2001: D3,dry,Severe,0
SE11,1991,102,41,-193.5,ACRU,5.59,S,L,5.59,S,L,5.08,NA,SN,NA,NA,G,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 6 OTHER RM; 1991: SNAP AT BASE; BOLE IS D2; 21' AT 304 DEG,dry,Severe,0
SE11,1991,103,41.5,-131.5,ACRU,4.57,S,L,4.57,S,L,4.83,S,L,5.1,S,L,NA,4.3,NA,SN,12,252,D1,NA,dry,Severe,1
SE11,1991,104,41.5,-192.5,ACRU,9.91,CD,L,12.7,CD,L,18.03,CD,L,19.8,CD,L,NA,21.7,CD,L,NA,NA,NA,SHARES BASE WITH 6 OTHER RM,dry,Severe,0
SE11,1991,105,42,-139,ACRU,12.19,CD,L,14.48,CD,L,20.07,CD,L,22.3,CD,L,NA,23.6,CD,L,NA,NA,NA,NA,dry,Severe,0
SE11,1991,106,42,-192,ACRU,5.08,S,L,5.33,S,L,5.08,S,D,NA,NA,G,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 6 OTHER RM; 1991: BARK MISSING; LEANS 21 DEG FROM VERT.,dry,Severe,0
SE11,1991,107,42.5,-193,ACRU,10.16,CD,L,12.19,CD,L,15.49,CD,L,16.9,CD,L,NA,18.5,I,L,NA,NA,NA,SHARES BASE WITH 6 OTHER RM,dry,Severe,0
SE11,1991,108,43,-159,QUVE,8.89,I,L,9.4,I,L,10.16,NA,SN,NA,NA,SN,NA,NA,NA,G,NA,NA,NA,1991: SNAP AT BASE; BOLE IS D2; 24' AT 194 DEG; 2001: 13.5' BOLE; D3,dry,Severe,0
SE11,1991,109,43.5,-131.5,ACRU,4.57,S,L,5.59,S,L,7.62,S,L,8.4,S,L,NA,9.5,S,L,NA,NA,NA,2011: LEANING; BASAL SPROUTING,dry,Severe,1
SE11,1991,110,43.5,-192,ACRU,10.16,CD,L,11.68,CD,L,13.72,CD,L,14.6,CD,L,NA,14.7,S,L,NA,NA,NA,SHARES BASE WITH 6 OTHER RM,dry,Severe,0
SE11,1991,111,43.5,-194,ACRU,5.59,S,L,5.59,S,L,5.59,S,L,5.8,S,L,NA,6.2,NA,D,NA,NA,D2,SHARES BASE WITH 6 OTHER RM; 1991: DEAD LEADER,dry,Severe,0
SE11,1991,112,44,-193,ACRU,10.41,CD,L,12.7,CD,L,16.76,CD,L,19,CD,L,NA,21.2,CD,L,NA,NA,NA,SHARES BASE WITH 6 OTHER RM,dry,Severe,0
SE11,1991,113,45,-155.5,BELE,5.84,S,L,6.6,S,L,9.4,S,L,10.7,S,L,NA,12.1,S,L,NA,NA,NA,NA,dry,Severe,0
SE11,1991,114,45.5,-136.5,ACRU,5.59,S,L,5.84,S,L,5.08,NA,SN,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991: NO BARK; 10 DEG; D1,dry,Severe,0
SE11,1991,115,45.5,-177.5,BEPO,10.16,S,L,NA,NA,D,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,NA,dry,Severe,0
SE11,1991,116,46,-101,ACRU,11.43,I,L,NA,NA,D,NA,NA,SN,NA,NA,SN,NA,NA,NA,G,NA,NA,NA,SHARES BASE WITH 94;2; 1991: STUMP D3 TO D2; BOLE D2; 12' AT 325 DEG; 2001: STUMP ONLY D3,dry,Severe,1
SE11,1991,117,46.5,-118.5,PIST,25.4,NA,W,NA,NA,W,NA,NA,W,NA,NA,W,NW,NA,NA,W,NA,NA,D3,WINDTHROWN: LOCATED AT CENTER OF MOUND; WB GROWING ON OR NEAR MOUND; 1991: D2 TO D3; 2001: D3; 2011: BARELY THERE,dry,Severe,1
SE11,1991,118,46.5,-120,BEPA,13.46,CD,L,14.99,CD,L,15.24,NA,RB,NA,NA,RB,NA,NA,NA,G,NA,NA,NA,GROWING ON OR NEAR WP MOUND 93; 37; 1991: BOLE D1; 245 DEG; 2001: 9.7' BOLE; D3,dry,Severe,1
