block,meas3yr,treeid,xsite,ysite,species,dbh69,can69,cond69,dbh75,can75,cond75,dbh91,can91,cond91,dbh01,can01,cond01,1969Orient,dbh11,can11,cond11,length11,angle11,decay,comments,soilmoist,hurrdam,10medge
SE51,1991,1009,18,-501.5,BELE,5.08,S,L,5.59,S,L,6.6,S,L,7,NA,D,NA,NA,NA,SN,9.3,158,D3,1991: WOUND AT 4FT. SE SIDE; 2001: D1; 2011: BOLE BURIED,dry,Moderate,0
SE51,1991,1010,18,-513,ACRU,6.6,S,L,7.62,S,L,9.65,S,L,11,I,L,NA,12.8,S,L,NA,NA,NA,NA,dry,Moderate,0
SE51,1991,1011,20,-515.5,ACSA,5.08,S,L,5.08,S,L,5.33,NA,SN,NA,NA,SN,NA,NA,NA,G,NA,NA,NA,1991: SNAP AT 5FT.; 2001: SNAPPED AT BASE; 3'; D3; 183 DEG,dry,Moderate,0
SE51,1991,1012,16.5,-517,ACRU,9.4,S,L,9.91,S,L,11.18,S,L,12.3,S,L,NA,13.7,S,L,NA,NA,NA,2011: TOP SNAPPED; TRUNK SPROUTS,dry,Moderate,0
SE51,1991,1013,18,-549.5,QURU,22.1,CD,L,24.13,CD,L,28.45,CD,L,31.3,CD,L,NA,35.2,CD,L,NA,NA,NA,1991: LIGHT SKELETONIZING,moist,Moderate,0
SE51,1991,1014,16.5,-556.5,QURU,8.64,S,D,NA,NA,D,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1969: CHECK IF STUMP  1991: GONE,moist,Moderate,0
SE51,1991,1015,17.5,-574,QURU,10.67,S,L,12.95,S,L,7.62,NA,SN,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991: BASE SNAP; NO BARK; D1; 229DEG.; 44.7FT.,moist,Moderate,0
SE51,1991,1016,19,-593.5,QURU,15.49,I,L,16.26,I,L,17.27,I,L,18.3,I,L,NA,19.1,I,L,NA,NA,NA,1991: SKELETONIZING THROUGHOUT CROWN,moist,Moderate,0
SE51,1991,1017,15.5,-597,PIST,45.72,NA,ST,NA,NA,ST,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1969: ? IF SPECIES IS WP,moist,Moderate,0
SE51,1991,1018,22.5,-502,QURU,19.56,CD,L,20.83,CD,L,23.62,CD,L,25.2,CD,L,NA,26.8,CD,L,NA,NA,NA,1991: SKELETONIZING HEAVIER IN UPPER CROWN,dry,Moderate,0
SE51,1991,1019,22,-512.5,CADE,76.2,NA,ST,NA,NA,ST,NA,NA,ST,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991: D3,dry,Moderate,0
SE51,1991,1020,22.5,-515.5,PIST,6.86,S,L,7.11,S,L,7.11,S,D,6,NA,RB,NA,NA,NA,RB,9.5,144,D3,1991: MISSING SOME BARK AT DBH; 2001: 14.1'; 144 DEG; D2,dry,Moderate,0
SE51,1991,1021,21,-516,QURU,16.51,CD,L,17.53,CD,L,19.05,CD,L,19.5,CD,L,NA,20.1,NA,D,NA,NA,D1,1991: SKELETONIZING,dry,Moderate,0
SE51,1991,1022,21,-525,PIST,45.72,NA,ST,NA,NA,ST,NA,NA,ST,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1969: ? IF SPECIES IS WP  1991: D3,dry,Moderate,0
SE51,1991,1023,21,-527,ACRU,30.48,NA,ST,NA,NA,ST,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1969: ? IF SPECIES IS RM  1991: GONE,dry,Moderate,0
SE51,1991,1024,20.5,-534,QURU,6.6,S,D,NA,NA,D,NA,NA,ST,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991: NO BOLE ASSOCIATED,dry,Moderate,0
SE51,1991,1025,23.5,-535.5,ACRU,6.35,CD,L,7.11,CD,L,7.62,S,L,7,NA,SN,NA,6.8,NA,SN,12.8,199,D2,1991: SOME DEAD BRANCHES AT TOP; 2001: SNAPPED AT BASE; 19'; 199 DEG; D1,dry,Moderate,0
SE51,1991,1026,20.5,-536.5,QURU,12.19,I,L,12.95,I,L,13.97,S,L,12,NA,RB,NA,12.3,NA,RB,12.2,180,D2,1991: SKELETONIZING THROUGHOUT; 2001: 37'; 180 DEG; D1; MISSING BARK,dry,Moderate,0
SE51,1991,1027,20.5,-551,ACRU,5.59,S,L,5.84,S,L,6.1,S,L,6,NA,SN,NA,NA,NA,G,NA,NA,NA,2001: D3 STUMP; BOLE D2; 15'; BOLE REMOVED ~1.5' EAST; 4 DEG; 2011:  COND91 CHANGED FROM M TO L,moist,Moderate,0
SE51,1991,1028,23.5,-553.5,QURU,9.91,S,L,9.91,S,L,7.62,NA,SN,8,NA,SN,NA,NA,NA,G,NA,NA,NA,1991: SNAP AT BASE; MISSING BARK; 286DEG.; D1; LEANING ON 9;105; 2001: 19.6'; 269 DEG; D2,moist,Moderate,0
SE51,1991,1029,21.5,-557,QURU,8.38,S,L,NA,NA,D,7.62,NA,SN,7,NA,SN,NA,NA,NA,G,NA,NA,NA,1991: SNAP AT BASE; NO BARK; D1; 240DEG.; 28.4FT.; 2001: 24'; 230 DEG; D2 PARTLY BURIED,moist,Moderate,0
SE51,1991,1030,23.5,-570,QURU,19.81,CD,L,22.1,CD,L,23.11,CD,L,24.3,CD,L,NA,24.9,I,L,NA,NA,NA,1991: SKELETONIZING; 2011: TOP DEAD,moist,Moderate,0
