Site,Tree Number,core orientation,species,DBH,Distance,Azimuth,Canopy,Status
HOW2,9,,PCRU,38.6,11.4,48,D,Li
HOW2,10,,PCRU,21.4,13.1,41,C,Li
HOW2,11,,TSCA,22.5,10.7,57,I,Li
HOW2,12,,PCRU,36.9,9.8,70,D,Li
HOW2,13,,TSCA,12,8.9,82,S,Sn
HOW2,14,,TSCA,31.9,7.7,88,C,Li
HOW2,15,,THOC,27.8,10.2,79,I,Li
HOW2,16,,PCRU,28.1,12.7,89,D,Li
HOW2,17,,PCRU,26.3,16.1,89,C,Li
HOW2,18,,ACRU,33,19.8,80,C,Li
HOW2,19,,PCRU,28.8,16.5,63,C,Li
HOW2,20,,PCRU,30.5,15.6,60,C,Li
HOW2,21,,THOC,28.3,18.1,60,I,Li
HOW2,22,,PCRU,39.1,17.8,43,C,Li
HOW2,23,,TSCA,28.3,18.1,60,I,Li
HOW2,24,,PCRU,41.3,15.6,25,C,Li
HOW2,25,,ACRU,25.7,17.6,18,C,Li
HOW2,26,,TSCA,36.5,18.1,10,C,Li
HOW2,27,,PIST,66.6,18.8,8,D,Sn
HOW2,28,,TSCA,23.7,13.7,15,C,Li
HOW2,29,,PCRU,16.6,12.4,20,C,Li
HOW2,30,,TSCA,34,11.1,26,C,LI
HOW2,31,,TSCA,11.8,1.1,317,S,Li
HOW2,32,,ACRU,28,1.9,343,C,Li
HOW2,33,,TSCA,37.8,1.9,343,C,Li
HOW2,34,,PCRU,34.1,3.4,308,C,Li
HOW2,35,,PCRU,34.3,5.6,329,C,Li
HOW2,36,,PCRU,14.3,5.3,353,S,Li
HOW2,37,,TSCA,22.7,7.2,350,C,Li
HOW2,38,,TSCA,23.1,8.3,328,C,Li
HOW2,39,,ACRU,15.2,9,350,C,Li
HOW2,40,,TSCA,10.2,9.4,330,S,Li
HOW2,41,,TSCA,19.1,9,323,I,Li
HOW2,42,,TSCA,28.1,12.3,351,I,Li
HOW2,43,,ACRU,32.1,13.9,308,C,Li
HOW2,44,,TSCA,45.9,14.1,347,D,Li
HOW2,45,,THOC,27.7,17.3,357,C,Li
HOW2,46,,PIST,56.3,17.3,357,,Sn
HOW2,47,,PCRU,21.2,18.2,356,D,Li
HOW2,48,,ACRU,23.4,14.8,327,C,Li
HOW2,49,,PCRU,24.9,13.9,329,D,Li
HOW2,50,,THOC,26.9,14,298,I,Li
HOW2,51,,TSCA,43.2,12.9,292,C,Li
HOW2,52,,THOC,22.3,11.9,290,S,Li
HOW2,53,,PCRU,31,11.3,289,C,Li
HOW2,54,,TSCA,18.8,11,280,S,Li
HOW2,55,,THOC,31.5,8.4,278,C,Li
HOW2,56,,TSCA,30.4,1.4,240,C,Li
HOW2,57,,THOC,26.5,4.7,240,C,Li
HOW2,58,,THOC,23.7,6.6,260,C,Li
HOW2,59,,THOC,25,8.6,238,,Sn
HOW2,60,,TSCA,18.4,9.1,248,I,Li
HOW2,61,,ACRU,34.6,8.9,222,C,Li
HOW2,62,,TSCA,34.9,9.5,216,C,Li
