site,trees,species,Status,dbh,TreeHt,DateCreated
1306,12,ACSA,L,34.2,23.2,25-Feb-03
1306,13,ACSA,L,7.4,10,25-Feb-03
1306,14,QURU,L,47.5,26.25,25-Feb-03
1306,15,FAGR,L,29.6,28.14,25-Feb-03
1306,16,QURU,L,54,33.06,25-Feb-03
1306,17,QURU,L,14.2,11.55,25-Feb-03
1306,18,ACSA,L,5.5,14,25-Feb-03
1306,19,QURU,L,37.1,29.12,25-Feb-03
1306,20,QURU,D,23.1,20,25-Feb-03
1306,21,QURU,L,7.9,6,25-Feb-03
