plot,tree no.,species,DBH1979,Cnpy1979,rem1979,DBH1983,Cnpy1983,rem1983,DBH1989,Cnpy1989,rem1989,DBH1994,Cnpy1994,rem1994,DBH1999,Cnpy1999,rem1999,DBH2009,Cnpy2009,rem2009
A0,29,40,12.8,3,0,13.3,3,0,13.6,3,0,14.2,3,0,15,3,0,16.2,2,0
A0,674,78,0,0,0,0,0,0,0,0,0,0,0,0,1.2,4,0,1.5,4,1
A0,675,78,0,0,0,0,0,0,0,0,0,0,0,0,1.2,4,0,1.5,4,1
A0,676,78,0,0,0,0,0,0,0,0,0,0,0,0,1.3,4,0,1.9,4,0
A0,30,76,1.8,4,8,1.9,4,8,1.9,4,2,2,4,2,2.4,4,2,2.7,4,0
A0,31,29,7.7,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,677,78,0,0,0,0,0,0,0,0,0,0,0,0,1.2,4,0,0,0,9
A0,678,78,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,0,0,0,9
A0,32,76,1.5,4,8,1.5,4,8,1.5,4,8,1.6,4,1,2,4,1,2.1,4,12
A0,754,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,1
A0,33,76,2.8,4,8,3,4,8,3.1,4,8,3.2,4,1,3.5,4,0,0,0,9
A0,755,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
A0,34,76,6.2,4,0,6.5,4,0,6.7,4,0,6.9,4,0,7.8,3,0,9.4,3,0
A0,423,76,1.4,4,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,35,76,4.6,4,8,5,4,8,5.3,4,0,5.7,4,3,7,2,1,10,2,1
A0,36,76,1.2,4,82,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,37,40,26.9,2,0,28.5,2,0,30.3,2,1,30.8,2,1,0,0,9,0,0,0
A0,679,32,0,0,0,0,0,0,0,0,0,0,0,0,1.2,4,0,2.1,4,0
A0,38,76,2.3,4,81,2.4,4,8,2.8,4,8,3,4,1,3.7,4,1,5.3,4,1
A0,756,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
A0,757,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,4,0
A0,758,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,0
A0,759,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,4,0
A0,760,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,4,0
A0,39,53,9.8,4,2,9.9,4,2,10.4,4,21,10.9,3,12,12.7,3,12,15.8,3,0
A0,680,53,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4,0,2.2,4,0
A0,40,40,16.3,2,0,17,2,0,18,2,0,19.1,2,0,20.6,2,0,24.5,2,0
A0,41,79,3.2,4,8,3.4,4,8,3.6,4,81,3.9,4,0,4.8,4,0,5.7,4,0
A0,42,76,3,4,0,3,4,2,3,4,2,3,4,2,3.1,4,2,3.3,4,2
